Rssi,Riding
-78,0
-75,0
-78,0
-83,0
-76,0
-80,0
-76,0
-75,0
-77,0
-78,0
-79,0
-82,0
-82,0
-83,0
-87,0
-70,0
-70,0
-75,0
-66,0
-73,0
-85,0
-85,0
-85,0
-79,0
-70,0
-67,0
-85,0
-82,0
-78,0
-69,0
-78,0
-81,0
-93,0
-78,0
-65,0
-74,0
-71,0
-78,0
-76,0
-82,0
-81,0
-73,0
-79,0
-74,0
-76,0
-87,0
-86,0
-72,0
-84,0
-81,0
-71,0
-75,0
-93,0
-85,0
-72,0
-88,0
-74,0
-73,0
-83,0
-87,0
-75,0
-89,0
-84,0
-69,0
-81,0
-85,0
-79,0
-84,0
-91,0
-69,0
-73,0
-79,0
-76,0
-72,0
-81,0
-76,0
-75,0
-69,0
-81,0
-79,0
-71,0
-77,0
-80,0
-66,0
-68,0
-80,0
-71,0
-76,0
-85,0
-76,0
-83,0
-78,0
-86,0
-86,0
-65,0
-84,0
-82,0
-83,0
-69,0
-75,0
-71,0
-82,0
-83,0
-69,0
-83,0
-91,0
-69,0
-75,0
-81,0
-70,0
-66,0
-86,0
-79,0
-83,0
-76,0
-76,0
-78,0
-81,0
-78,0
-76,0
-82,0
-78,0
-67,0
-76,0
-72,0
-82,0
-83,0
-80,0
-74,0
-81,0
-81,0
-84,0
-83,0
-71,0
-82,0
-71,0
-72,0
-78,0
-82,0
-83,0
-67,0
-85,0
-68,0
-79,0
-74,0
-68,0
-81,0
-84,0
-76,0
-70,0
-81,0
-80,0
-78,0
-78,0
-66,0
-79,0
-83,0
-80,0
-72,0
-83,0
-75,0
-83,0
-78,0
-80,0
-80,0
-81,0
-75,0
-86,0
-84,0
-80,0
-65,0
-72,0
-75,0
-77,0
-72,0
-74,0
-82,0
-85,0
-75,0
-86,0
-75,0
-72,0
-80,0
-88,0
-82,0
-75,0
-78,0
-78,0
-83,0
-77,0
-69,0
-80,0
-66,0
-85,0
-67,0
-73,0
-77,0
-64,0
-81,0
-81,0
-68,0
-81,0
-78,0
-78,0
-76,0
-80,0
-79,0
-68,0
-76,0
-72,0
-90,0
-81,0
-70,0
-73,0
-77,0
-75,0
-81,0
-80,0
-79,0
-81,0
-78,0
-69,0
-83,0
-82,0
-79,0
-84,0
-74,0
-75,0
-76,0
-67,0
-89,0
-82,0
-73,0
-70,0
-68,0
-71,0
-77,0
-79,0
-83,0
-81,0
-82,0
-84,0
-72,0
-76,0
-74,0
-78,0
-83,0
-81,0
-79,0
-74,0
-78,0
-71,0
-82,0
-86,0
-80,0
-81,0
-84,0
-67,0
-80,0
-80,0
-85,0
-76,0
-80,0
-75,0
-77,0
-93,0
-94,0
-87,0
-70,0
-71,0
-71,0
-76,0
-83,0
-92,0
-78,0
-76,0
-81,0
-73,0
-79,0
-81,0
-68,0
-75,0
-67,0
-81,0
-77,0
-74,0
-87,0
-79,0
-78,0
-78,0
-78,0
-81,0
-78,0
-83,0
-88,0
-88,0
-90,0
-83,0
-75,0
-78,0
-87,0
-63,0
-79,0
-81,0
-81,0
-67,0
-70,0
-81,0
-80,0
-76,0
-72,0
-76,0
-87,0
-75,0
-80,0
-81,0
-76,0
-79,0
-76,0
-74,0
-82,0
-75,0
-79,0
-77,0
-81,0
-86,0
-76,0
-78,0
-73,0
-73,0
-71,0
-82,0
-63,0
-79,0
-79,0
-83,0
-71,0
-69,0
-80,0
-81,0
-92,0
-68,0
-77,0
-84,0
-79,0
-76,0
-84,0
-77,0
-72,0
-74,0
-79,0
-84,0
-72,0
-88,0
-81,0
-83,0
-78,0
-78,0
-82,0
-75,0
-84,0
-81,0
-78,0
-76,0
-78,0
-82,0
-67,0
-72,0
-85,0
-74,0
-86,0
-78,0
-82,0
-77,0
-80,0
-81,0
-79,0
-70,0
-79,0
-72,0
-83,0
-79,0
-69,0
-72,0
-79,0
-85,0
-79,0
-75,0
-75,0
-83,0
-82,0
-82,0
-73,0
-81,0
-86,0
-78,0
-89,0
-82,0
-69,0
-80,0
-82,0
-74,0
-84,0
-86,0
-76,0
-80,0
-87,0
-72,0
